GI	Eco_Ctrl1	Eco_Ctrl2	Eco_Exp1	Eco_Exp2
b0001	26	16	28	33
b0002	9	6	46	20
b0003	6	2	17	1
b0004	6	3	16	3
b0005	1	0	1	1
b0006	1	1	17	6
b0007	0	0	0	0
b0008	22	7	102	38
b0009	5	0	14	6
b0010	3	0	4	2
b0011	0	0	0	0
b0012	0	0	0	0
b0013	0	0	0	0
b0014	18	7	144	28
b0015	8	3	15	3
b0016	0	0	0	1
b0018	0	0	0	0
b0019	9	2	2	1
b0020	0	0	2	0
b0021	0	0	0	0
b0022	0	0	0	0
b0023	128	42	313	48
b0024	0	0	3	0
b0025	8	2	56	12
b0026	93	24	180	43
b0027	10	1	20	5
b0028	1	1	10	4
b0029	4	0	9	5
b0030	0	0	0	0
b0031	3	2	13	2
b0032	2	1	21	4
b0033	1	0	14	0
b0034	0	0	0	0
b0035	0	0	0	0
b0036	0	0	0	0
b0037	0	0	0	0
b0038	0	0	1	0
b0039	1	0	3	1
b0040	0	0	0	0
b0041	0	0	0	0
b0042	0	0	0	1
b0043	0	0	1	0
b0044	0	0	0	0
b0045	0	0	0	1
b0046	0	0	3	0
b0047	2	0	1	1
b0048	9	3	31	10
b0049	0	0	1	0
b0050	0	0	1	0
b0051	1	0	8	0
b0052	0	0	6	3
b0053	7	5	36	10
b0054	15	4	40	12
b0055	1	0	4	0
b0056	0	0	2	0
b0057	0	0	0	0
b0058	1	0	2	0
b0059	8	0	11	4
b0060	1	1	0	3
b0061	0	0	0	0
b0062	0	0	0	0
b0063	0	0	0	0
b0064	0	0	0	2
b0065	2	0	4	5
b0066	0	0	0	0
b0067	4	0	7	7
b0068	5	4	31	13
b0069	0	0	0	0
b0070	0	0	13	2
b0071	24	6	51	19
b0072	65	20	72	23
b0073	31	10	66	11
b0074	25	10	73	15
b0075	1	1	4	0
b0076	0	0	1	0
b0077	2	2	20	5
b0078	1	0	1	0
b0080	5	0	16	4
b0081	9	1	43	15
b0082	15	5	45	14
b0083	1	0	12	1
b0084	4	0	9	3
b0085	0	0	4	0
b0086	0	0	6	3
b0087	5	1	13	4
b0088	2	0	15	6
b0089	1	0	14	6
b0090	2	1	9	5
b0091	5	0	19	13
b0092	6	1	25	9
b0093	2	0	25	9
b0094	14	3	76	23
b0095	74	32	365	135
b0096	328	100	973	334
b0097	1	1	6	5
b0098	8	7	20	5
b0099	0	0	0	0
b0101	0	0	5	1
b0102	4	2	16	1
b0103	2	0	8	3
b0104	3	4	19	2
b0106	0	0	1	0
b0107	0	0	0	0
b0108	0	0	0	0
b0109	5	1	3	1
b0110	1	0	8	0
b0111	0	0	4	1
b0112	5	2	28	4
b0113	15	2	45	21
b0114	107	34	330	98
b0115	52	20	117	33
b0116	49	14	228	43
b0117	0	0	0	0
b0118	51	23	204	69
b0119	3	3	11	2
b0120	1	0	5	2
b0121	5	3	28	2
b0122	3	0	13	2
b0123	4	2	2	2
b0124	23	8	20	5
b0125	21	5	48	13
b0126	11	5	64	7
b0127	1	0	5	2
b0128	1	1	4	4
b0129	3	0	0	0
b0130	0	0	0	0
b0131	7	6	73	16
b0132	1	1	2	1
b0133	9	5	63	26
b0134	6	3	32	9
b0135	0	0	0	0
b0136	0	0	1	0
b0137	0	0	1	0
b0138	0	0	0	0
b0139	0	0	0	0
b0140	1	0	0	0
b0141	0	0	0	0
b0142	0	0	0	0
b0143	5	3	24	10
b0144	0	0	2	1
b0145	17	4	39	16
b0146	1	3	4	2
b0147	0	0	1	0
b0148	3	1	18	5
b0149	6	4	13	8
b0150	10	3	6	1
b0151	0	0	0	0
b0152	0	0	0	0
b0153	3	0	0	0
b0154	14	5	26	10
b0155	0	0	0	0
b0156	14	3	50	18
b0157	0	0	8	3
b0158	0	0	3	0
b0159	16	6	67	18
b0160	0	0	5	1
b0161	2	1	21	7
b0162	0	1	0	0
b0163	4	1	10	0
b0164	0	0	0	0
b0166	18	10	75	38
b0167	2	0	5	4
b0168	27	13	106	19
b0169	286	86	843	256
b0170	160	39	396	101
b0171	2	4	11	1
b0172	41	10	205	38
b0173	1	1	15	9
b0174	11	7	51	14
b0175	7	1	28	5
b0176	7	3	42	12
b0177	18	6	72	20
b0178	19	9	51	13
b0179	17	3	47	22
b0180	18	5	54	25
b0181	17	15	63	38
b0182	1	2	9	5
b0183	0	0	2	2
b0184	13	3	30	8
b0185	22	11	105	31
b0186	3	0	5	0
b0187	1	1	3	3
b0188	3	1	16	7
b0189	5	3	15	6
b0190	0	1	2	0
b0191	1	0	5	3
b0192	1	2	14	3
b0193	0	0	0	0
b0194	25	14	156	49
b0195	0	0	2	0
b0196	2	1	6	2
b0197	18	12	82	41
b0198	9	1	28	19
b0199	6	0	23	10
b0200	2	5	18	9
b0207	0	0	0	0
b0208	0	0	1	2
b0209	3	0	24	6
b0210	2	0	2	0
b0211	40	7	91	39
b0212	0	0	0	0
b0213	0	0	1	0
b0214	0	1	1	1
b0215	1	2	32	4
b0217	0	0	0	0
b0218	0	0	0	0
b0219	2	0	7	0
b0220	6	6	63	16
b0221	1	2	8	2
b0222	9	6	32	7
b0223	6	0	9	3
b0224	5	0	22	2
b0225	8	1	21	5
b0226	7	0	17	4
b0227	0	0	0	0
b0228	0	0	0	0
b0229	0	0	0	0
b0230	0	0	0	0
b0231	0	0	0	5
b0232	0	0	0	1
b0233	0	0	0	0
b0234	0	0	0	0
b0235	0	0	0	1
b0236	0	0	0	1
b0237	12	2	35	4
b0238	27	3	110	27
b0239	4	0	19	6
b0240	15	10	112	26
b0241	0	0	0	0
b0242	13	5	53	8
b0243	6	1	22	5
b0245	0	0	0	0
b0246	0	0	0	0
b0247	0	0	0	0
b0248	0	0	0	0
b0249	0	0	0	0
b0250	0	0	0	0
b0251	0	0	0	0
b0252	0	0	0	0
b0253	0	0	0	0
b0254	0	0	0	0
b0256	0	0	0	0
b0258	1	0	1	0
b0259	0	1	0	0
b0260	2	0	0	1
b0261	3	0	0	0
b0262	1	0	0	0
b0263	0	0	0	0
b0264	0	0	0	0
b0265	1	0	0	1
b0266	0	0	0	0
b0267	0	0	0	0
b0268	0	0	0	0
b0269	0	0	0	0
b0270	1	0	0	0
b0271	0	0	0	0
b0272	3	0	0	0
b0273	1	1	0	1
b0274	0	0	0	0
b0275	0	0	0	0
b0276	0	0	0	0
b0277	0	0	0	0
b0278	0	0	0	0
b0279	0	0	0	0
b0280	0	1	1	0
b0281	2	0	1	0
b0282	0	0	0	0
b0283	0	0	0	0
b0284	1	0	0	0
b0285	0	0	0	0
b0286	0	0	0	0
b0287	0	2	1	0
b0288	0	0	0	0
b0289	0	0	0	0
b0290	0	0	0	1
b0291	0	0	0	0
b0292	0	0	0	0
b0293	1	0	0	0
b0294	0	0	0	0
b0295	0	0	0	0
b0296	1	0	0	0
b0297	0	0	0	0
b0298	0	0	0	0
b0299	0	0	0	0
b0300	0	0	0	0
b0301	0	0	0	0
b0303	0	0	0	0
b0304	1	0	0	0
b0305	0	0	0	0
b0306	0	0	0	0
b0307	0	0	0	0
b0308	0	0	0	0
b0310	0	0	0	0
b0311	3	0	0	0
b0312	0	1	2	3
b0313	2	0	1	0
b0314	1	0	5	1
b0315	1	1	0	0
b0316	0	0	0	0
b0317	0	0	0	0
b0318	0	0	0	0
b0319	0	0	0	0
b0320	0	0	0	0
b0321	0	0	0	0
b0322	1	1	0	1
b0323	0	0	0	0
b0324	1	0	0	0
b0325	4	0	0	0
b0326	0	0	0	0
b0327	0	0	0	0
b0328	0	0	0	0
b0329	2	0	0	0
b0330	0	0	0	0
b0331	0	0	0	0
b0333	0	0	0	0
b0334	0	0	0	0
b0335	0	0	0	0
b0336	3	1	0	0
b0337	1	1	0	0
b0338	1	0	0	0
b0339	0	0	0	0
b0340	0	0	0	0
b0341	0	0	1	0
b0342	0	0	0	0
b0343	0	0	0	0
b0344	0	0	0	0
b0345	2	0	1	1
b0346	0	1	1	0
b0347	0	0	0	0
b0348	1	0	0	0
b0349	0	0	0	0
b0350	0	0	0	0
b0351	0	0	1	0
b0352	0	0	0	0
b0353	0	0	0	0
b0354	1	0	0	1
b0355	0	1	0	0
b0356	0	3	6	3
b0357	0	0	3	1
b0358	0	0	0	0
b0360	0	1	0	0
b0361	1	0	0	0
b0363	0	0	0	0
b0364	0	0	0	0
b0365	0	0	0	0
b0366	0	0	0	0
b0367	0	0	0	0
b0368	0	0	0	0
b0369	8	5	70	22
b0372	0	1	0	0
b0373	0	0	0	0
b0375	0	0	0	0
b0376	2	0	0	0
b0377	1	1	0	0
b0378	1	1	0	0
b0379	0	0	0	0
b0380	0	3	2	1
b0381	11	1	20	2
b0382	1	0	6	2
b0383	1	1	3	3
b0384	0	0	0	0
b0385	0	0	0	0
b0386	3	0	6	1
b0387	0	0	2	1
b0388	1	0	2	0
b0389	1	0	2	1
b0390	0	0	1	1
b0391	0	0	6	2
b0392	0	0	1	0
b0393	15	4	27	17
b0394	4	1	5	1
b0396	1	0	3	1
b0397	0	1	2	0
b0398	1	0	5	0
b0399	2	0	0	0
b0400	3	1	2	0
b0401	15	2	35	11
b0402	4	1	14	2
b0403	1	0	15	2
b0404	1	1	2	0
b0405	9	2	18	7
b0406	6	2	19	9
b0407	5	1	26	6
b0408	32	5	78	41
b0409	18	3	22	4
b0410	0	0	5	3
b0411	22	2	162	43
b0412	0	0	3	0
b0413	3	1	21	5
b0414	14	0	19	6
b0415	7	4	27	4
b0416	8	4	40	14
b0417	1	1	4	2
b0418	2	1	13	1
b0419	1	1	1	0
b0420	1	0	7	0
b0421	2	0	8	3
b0422	3	1	8	3
b0423	14	9	48	14
b0424	3	0	4	4
b0425	2	1	13	5
b0426	9	8	62	14
b0427	0	0	5	1
b0428	10	2	19	7
b0429	4	0	18	4
b0430	10	3	20	17
b0431	38	13	52	24
b0432	39	9	112	35
b0433	0	0	3	1
b0434	4	2	20	8
b0435	5	2	14	6
b0436	239	68	822	273
b0437	9	1	42	13
b0438	58	18	146	42
b0439	15	4	88	33
b0440	17	8	105	35
b0441	25	5	72	22
b0442	0	0	1	0
b0443	0	0	0	0
